symbol,name,exchange,listing_date,registration,industry_code,preferred_shares,source,instrument_type,is_ky,point_in_time_complete,is_suspended,is_disposition,is_full_cash_delivery,snapshot_date
8183,精星,TPEx,2005-03-30,－,31,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8227,巨有科技,TPEx,2022-12-20,－,24,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8234,新漢,TPEx,2007-06-07,－,25,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8240,華宏,TPEx,2005-06-23,－,26,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8255,朋程,TPEx,2006-04-25,－,05,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8272,全景軟體,TPEx,2024-10-23,－,30,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8277,商丞,TPEx,2004-12-27,－,24,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,True,2026-08-21
8279,生展,TPEx,2016-09-26,－,22,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8284,三竹,TPEx,2020-05-18,－,30,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8289,泰藝,TPEx,2008-04-24,－,28,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8291,尚茂,TPEx,2011-11-29,－,28,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,True,2026-08-21
8299,群聯,TPEx,2004-12-06,－,24,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8342,益張,TPEx,2017-11-23,－,20,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8349,恒耀國際,TPEx,2006-03-10,－,10,10000000,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8354,冠好,TPEx,2004-04-15,－,20,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8358,金居,TPEx,2010-09-27,－,28,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8383,千附,TPEx,2004-09-10,－,24,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8390,金益鼎,TPEx,2008-05-21,－,35,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8401,白紗科,TPEx,2010-03-29,－,20,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8403,盛弘,TPEx,2011-03-01,－,22,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8409,商之器,TPEx,2013-11-25,－,22,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8410,森田,TPEx,2011-02-23,－,25,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8415,大國鋼,TPEx,2016-09-07,－,10,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8416,實威,TPEx,2012-09-19,－,30,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8421,旭源,TPEx,2012-11-23,－,20,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8423,保綠-KY,TPEx,2012-03-14,KY 開曼群島,35,0,TPEx mopsfin_t187ap03_O,stock,True,False,False,False,False,2026-08-21
8424,惠普,TPEx,2012-12-18,－,14,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8426,紅木-KY,TPEx,2011-12-13,KY 開曼群島,20,0,TPEx mopsfin_t187ap03_O,stock,True,False,False,False,False,2026-08-21
8431,匯鑽科,TPEx,2015-03-30,－,31,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8432,東生華,TPEx,2012-04-30,－,22,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8433,弘帆,TPEx,2012-12-19,－,38,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8435,鉅邁,TPEx,2012-12-28,－,20,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8436,大江,TPEx,2013-09-12,－,22,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
8437,大地-KY,TPEx,2015-05-06,KY 開曼群島,20,0,TPEx mopsfin_t187ap03_O,stock,True,False,False,False,False,2026-08-21
8440,綠電,TPEx,2018-03-28,－,35,0,TPEx mopsfin_t187ap03_O,stock,False,False,False,False,False,2026-08-21
