symbol,security_type,exchange,name,category,unit,trading_suspended,disposition_level,attention_flag,settlement_type,reference,update_date,source,retrieved_at
3373,STK,OTC,熱映,31,1000.0,False,0.0,False,0,16.4,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.264566
3374,STK,OTC,精材,24,1000.0,False,0.0,False,0,299.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.264566
3379,STK,OTC,彬台,05,1000.0,False,0.0,False,0,29.1,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.264566
3388,STK,OTC,崇越電,28,1000.0,False,0.0,False,0,93.3,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.266137
3390,STK,OTC,旭軟,28,1000.0,False,0.0,False,0,21.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.266137
3402,STK,OTC,漢科,31,1000.0,False,0.0,False,0,122.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.266137
3430,STK,OTC,奇鈦科,21,1000.0,False,0.0,False,0,117.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.266137
3434,STK,OTC,哲固,26,1000.0,False,0.0,False,0,30.75,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.266137
3438,STK,OTC,類比科,24,1000.0,False,0.0,False,0,57.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.266137
3441,STK,OTC,聯一光,26,1000.0,False,0.0,True,0,88.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.267691
3444,STK,OTC,利機,29,1000.0,False,0.0,False,0,76.2,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.267691
3455,STK,OTC,由田,26,1000.0,False,0.0,False,0,247.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.267691
3465,STK,OTC,進泰電子,31,1000.0,False,0.0,False,0,29.4,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.267691
3466,STK,OTC,德晉,27,1000.0,False,0.0,False,0,24.8,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.267691
3467,STK,OTC,台灣精材,24,1000.0,False,0.0,False,0,45.95,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.267691
3479,STK,OTC,安勤,25,1000.0,False,0.0,False,0,131.0,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.267691
3483,STK,OTC,力致,25,1000.0,False,0.0,False,0,70.5,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.267691
3484,STK,OTC,崧騰,28,1000.0,False,0.0,False,0,51.6,2026-08-20,Shioaji authenticated contract info,2026-08-21 04:31:41.269238
