date,symbol,close,oscillation_score,low_score,historical_events,mr_probability,regime_risk_score,final_score,take_profit
2025-01-08,5202,22.6,98.26673964604998,79.11462483864041,12,0.8333333333333334,20.0,86.25867810347509,0.2
2025-04-08,5202,21.6,96.78111587982832,75.82578397439686,16,0.875,20.0,86.24078075754771,0.2
2025-04-09,5202,19.45,93.90691528409926,88.46493161964776,16,0.875,20.0,88.53830749014172,0.2
2025-04-22,5202,19.9,94.89795918367346,67.8678597288669,16,0.875,20.0,83.68635268731876,0.2
2021-05-03,5215,124.0,85.09248243067931,90.76651370970949,16,0.75,20.0,82.71937315663116,0.15
2021-05-04,5215,120.5,86.22346089924486,93.51464889431499,16,0.75,20.0,83.7457004933522,0.15
2021-05-05,5215,118.0,83.3388403715507,95.22836936795545,16,0.75,20.0,83.30874445345407,0.15
2021-05-06,5215,118.5,82.17303308582063,87.60622239312647,16,0.75,20.0,81.05346552402781,0.15
2021-05-11,5215,113.0,89.37053135097332,92.86338785610062,16,0.75,20.0,84.52700636931715,0.15
2021-05-14,5215,101.0,85.95090150819063,90.4415338334694,16,0.75,20.0,82.89565391082454,0.15
2022-10-11,5222,84.01319885253906,96.76956125001517,83.6707691878024,25,0.68,20.0,82.34856067195514,0.12
2022-10-12,5222,84.35472106933594,96.20253064330697,77.15316313218528,25,0.68,20.0,80.54904997603842,0.12
2022-10-13,5222,80.25651550292969,94.6958967925236,87.09538719806314,25,0.68,20.0,82.58261583727287,0.12
2022-10-17,5222,81.28106689453125,92.53731094456226,72.8604309051027,25,0.68,20.0,78.37630100964435,0.12
2022-10-18,5222,80.9395523071289,93.18018676840622,73.94626736967423,25,0.68,20.0,78.84062287294043,0.12
2023-06-27,5222,124.99525451660156,96.16586151693659,76.73976074650074,28,0.6785714285714286,20.0,80.39184149884902,0.12
2023-06-29,5222,125.3367691040039,96.50645204989301,69.08281389342406,28,0.6785714285714286,20.0,78.57978194546678,0.12
2023-06-30,5222,124.31221771240234,95.5668269656028,83.06904457107802,28,0.6785714285714286,20.0,81.79445208959321,0.12
2023-07-03,5222,124.65373229980469,93.55059597085196,75.18976901592559,28,0.6785714285714286,20.0,79.21976390237984,0.12
2023-07-04,5222,123.62918090820312,91.66703120381247,81.44285965790633,28,0.6785714285714286,20.0,80.21796713276318,0.12
2023-07-18,5222,119.53097534179688,85.89552768488022,83.07029272202296,28,0.6785714285714286,20.0,78.89337434311267,0.12
2023-07-19,5222,119.18946075439453,85.91148515669238,84.08415990745226,28,0.6785714285714286,20.0,79.15162838101364,0.12
2023-07-21,5222,117.82339477539062,84.5083050687779,87.09201173031886,28,0.6785714285714286,20.0,79.48263731035594,0.12
2023-07-24,5222,116.11580657958984,77.287750393213,88.80196617982594,28,0.6785714285714286,20.0,77.74395952006324,0.12
2023-07-25,5222,114.74974060058594,77.72202268516278,90.11184296549618,28,0.6785714285714286,20.0,78.20171040406574,0.12
2023-07-26,5222,112.70063781738281,74.90518050543811,91.96560902550229,28,0.6785714285714286,20.0,77.82009926514986,0.12
2023-07-27,5222,114.06670379638672,69.56176254693676,78.80006683850264,28,0.6785714285714286,20.0,72.92568833084955,0.12
2025-03-31,5222,97.52362060546875,88.86545126723715,87.85259777603873,39,0.6666666666666666,20.0,80.62278482418083,0.12
2025-04-07,5222,89.25890350341797,83.23520321506143,92.84891449633983,39,0.6666666666666666,20.0,80.18278958860338,0.12
2025-04-08,5222,82.64713287353516,78.66600683380032,96.42740116429962,39,0.6666666666666666,20.0,79.706652341215,0.12
2025-11-18,5222,115.91260528564453,87.637694025503,65.92181324521026,42,0.6666666666666666,20.0,74.77176151895345,0.12
2025-11-19,5222,114.5489273071289,86.56713193301417,84.94824656907976,42,0.6666666666666666,20.0,79.20720122217419,0.12
2025-11-21,5222,113.18524932861328,85.26305041692204,85.95019091457677,42,0.6666666666666666,20.0,79.06646285372081,0.12
2026-03-31,5222,115.45804595947266,96.30916007975065,82.91365528442621,47,0.6595744680851063,20.0,81.40839588758494,0.12
2026-04-01,5222,115.45804595947266,96.63784897504166,82.08032195109288,47,0.6595744680851063,20.0,81.29866922283891,0.12
2026-04-02,5222,111.36701202392578,94.66950692420136,86.64930311388613,47,0.6595744680851063,20.0,81.85041189828513,0.12
2026-04-07,5222,101.8212661743164,90.54325508626013,93.01762982963619,47,0.6595744680851063,20.0,82.20461802584028,0.12
2026-04-08,5222,105.91230010986328,93.07478902399392,67.49057819519962,47,0.6595744680851063,20.0,76.58231529855126,0.12
2026-04-09,5222,105.91230010986328,94.9124924797451,65.32973881799417,47,0.6595744680851063,20.0,76.59341649097526,0.12
2026-07-28,5222,100.0030288696289,89.58837772397095,85.58400659563323,51,0.6862745098039216,20.0,80.86075026021723,0.12
2026-07-29,5222,94.54832458496094,84.94983594068218,89.88307489084103,51,0.6862745098039216,20.0,80.54395479903255,0.12
2023-03-16,5227,63.1,77.47100820087522,92.51458409217882,53,0.6792452830188679,20.0,78.74730697387331,0.15
2023-03-17,5227,63.4,77.10072368073611,85.27765953058838,53,0.6792452830188679,20.0,76.82699047743397,0.15
2020-03-19,5269,617.0,99.61442066705224,78.58239882341837,12,0.8333333333333334,20.0,86.52992590597027,0.15
2020-03-20,5269,626.0,99.90412272291466,69.96966845879518,12,0.8333333333333334,20.0,84.46365393157319,0.15
2023-07-12,5269,998.0,85.47288559358566,81.79592961728476,45,0.6666666666666666,20.0,78.09084808239689,0.15
2022-07-12,5272,30.4,96.9379801803808,84.67080483489265,35,0.6857142857142857,20.0,82.82052383426597,0.12
2024-05-09,5284,132.5,98.86920467395402,78.05076065371429,17,0.7058823529411765,20.0,82.34992215385007,0.2
2024-05-10,5284,131.0,98.67724867724868,92.18913039446562,17,0.7058823529411765,20.0,85.8269277900263,0.2
2024-05-13,5284,125.5,98.27652240520874,95.97876325539573,17,0.7058823529411765,20.0,86.65411812364684,0.2
2024-05-14,5284,129.5,97.28260869565217,80.9644746830917,17,0.7058823529411765,20.0,82.60237186770387,0.2
2024-05-15,5284,126.0,93.7062937062937,88.13118599150872,17,0.7058823529411765,20.0,83.32115519800058,0.2
2024-05-16,5284,124.5,89.91474318985236,90.5874757395136,17,0.7058823529411765,20.0,82.7977624800694,0.2
2024-05-17,5284,124.0,89.3483709273183,89.70427699455944,17,0.7058823529411765,20.0,82.40705111507064,0.2
2024-05-20,5284,123.5,89.88621997471554,88.82778714019365,17,0.7058823529411765,20.0,82.34928336569837,0.2
2024-05-21,5284,122.5,88.11308631398586,88.33807451207448,17,0.7058823529411765,20.0,81.69491511044967,0.2
2024-05-22,5284,123.5,85.5376462795319,81.07379067497241,17,0.7058823529411765,20.0,79.10621214083797,0.2
2024-05-23,5284,121.5,86.88969258589512,86.1809548227608,17,0.7058823529411765,20.0,80.78861706969403,0.2
2024-05-24,5284,122.5,84.55284552845528,79.08280396535667,17,0.7058823529411765,20.0,78.31302523811104,0.2
2024-05-27,5284,123.0,85.52600611908684,73.88202899816508,17,0.7058823529411765,20.0,77.30477967350261,0.2
2022-06-20,5291,36.3,78.42395956674764,89.72265480328917,19,0.7894736842105263,20.0,81.64206209716238,0.15
2026-06-26,5291,55.9,89.50712360415864,89.1515451714274,36,0.6944444444444444,20.0,81.97335670743777,0.12
2026-06-29,5291,54.0,89.54821308159137,90.87870796411676,36,0.6944444444444444,20.0,82.41747424883992,0.12
2026-07-07,5291,55.0,91.85867895545314,73.81582358117672,36,0.6944444444444444,20.0,78.84489291526346,0.12
2021-08-17,5302,13.55,98.32915622389307,82.73560489197082,24,0.6666666666666666,20.0,82.18264809016063,0.15
2021-08-19,5302,13.5,97.21984602224123,80.91849390461279,24,0.6666666666666666,20.0,81.39557728282556,0.15
2021-08-20,5302,13.55,98.26839826839827,74.52956855811476,24,0.6666666666666666,20.0,80.11291162004817,0.15
2021-08-17,5309,28.9,97.07526322630963,80.52579827308945,13,0.9230769230769231,20.0,88.94633622847294,0.15
2021-08-19,5309,29.1,95.86886993603412,68.53151357291534,13,0.9230769230769231,20.0,85.58584706634676,0.15
2021-08-20,5309,29.0,97.93956043956044,68.75637746752922,13,0.9230769230769231,20.0,86.26327019105813,0.15
2022-07-06,5309,37.8,93.79166122075546,85.6960854390973,19,0.9473684210526315,20.0,89.98257235757991,0.15
2022-07-12,5309,37.4,94.3575275711721,80.19398341859635,19,0.9473684210526315,20.0,88.77680675757966,0.15
2022-07-13,5309,37.3,95.99158890787226,79.12917313976102,19,0.9473684210526315,20.0,89.00082258888088,0.15
2022-07-14,5309,35.75,93.21266968325793,84.92746481101352,19,0.9473684210526315,20.0,89.6167197393097,0.15
2022-07-15,5309,35.5,92.92149292149293,84.25507759337468,19,0.9473684210526315,20.0,89.3612699063705,0.15
2022-07-18,5309,35.65,91.55427523896819,77.56752878059166,19,0.9473684210526315,20.0,87.27921739841732,0.15
2022-07-20,5309,35.5,92.96885267446444,77.97852549478341,19,0.9473684210526315,20.0,87.80633980761414,0.15
2022-09-28,5309,35.9,93.97031539888684,76.21879847610805,21,0.9523809523809523,20.0,87.81722281012163,0.15
2022-10-13,5309,34.9,98.1285090455396,88.47317302553546,22,0.9545454545454546,20.0,92.19320960640938,0.15
2023-06-12,5309,40.8,74.6383363471971,75.02788376856253,25,0.96,20.0,81.94847184629975,0.15
2023-06-13,5309,40.65,73.0744544287548,79.02579142749786,25,0.96,20.0,82.4787841855009,0.15
2023-06-15,5309,40.75,74.44485566247225,77.20936759001054,25,0.96,20.0,82.43579859624431,0.15
2023-06-16,5309,40.35,72.67787479100873,83.90165101581155,25,0.96,20.0,83.5787751912555,0.15
2024-04-16,5309,33.8,79.92328476259583,74.39143381322533,30,0.8333333333333334,20.0,79.57484388208508,0.15
2024-04-22,5309,33.25,87.48645539866858,78.6584271800229,30,0.8333333333333334,20.0,82.9105434146063,0.15
2024-04-23,5309,33.3,87.63614406307516,73.35799138352031,30,0.8333333333333334,20.0,81.63034106480264,0.15
2024-09-09,5309,35.1,98.8458579122852,66.58663293362186,34,0.7941176470588235,20.0,82.12394501885572,0.2
2024-09-10,5309,34.25,99.93673288624574,86.71299289968039,34,0.7941176470588235,20.0,87.48279750255853,0.2
2024-09-11,5309,34.2,97.988841313092,84.5706736735657,34,0.7941176470588235,20.0,86.36285022408373,0.2
2024-09-12,5309,34.8,99.03387865515909,65.16628691688662,34,0.7941176470588235,20.0,81.82526473753407,0.2
2025-03-31,5309,37.4,95.12459371614301,84.0786128193466,41,0.8048780487804879,20.0,85.70337278309418,0.2
2025-04-07,5309,35.75,90.19320843091334,88.88769696107462,41,0.8048780487804879,20.0,85.4262282329573,0.2
2025-04-08,5309,32.2,86.905916585839,93.60470300342547,41,0.8048780487804879,20.0,85.61929219002269,0.2
2025-04-09,5309,29.0,83.49641226353555,96.76599980115165,41,0.8048780487804879,20.0,85.38676509276321,0.2
2025-11-14,5309,55.5,99.26085203601666,74.8020146104683,43,0.7906976744186046,20.0,84.19968949598021,0.2
